Variable:,tasmin
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
2084,7.38,8.99,9.36,9.15,6.51,9.33,8.68,9.92,6.59,5.99,6.24,6.54,6.71,6.52,6.36,6.82,6.50,7.77,7.70,8.36,9.12,5.60,5.45,6.88,6.84,8.50,6.44,6.81,6.22
2085,7.23,8.68,9.09,9.20,6.24,9.03,8.34,9.61,6.27,5.80,6.02,6.25,6.39,6.39,6.07,6.84,6.48,7.75,7.67,8.03,8.73,5.34,5.18,6.52,6.85,8.46,6.32,6.56,6.02
2086,7.23,8.85,9.05,9.08,6.33,8.98,8.35,9.55,6.29,5.81,5.98,6.30,6.41,6.39,6.10,6.74,6.42,7.65,7.67,8.06,8.81,5.37,5.22,6.66,6.75,8.36,6.32,6.53,5.99
2087,6.80,8.31,8.87,8.78,5.83,8.73,8.12,9.33,5.77,5.28,5.61,5.82,5.89,5.81,5.66,6.29,5.87,7.31,7.31,7.79,8.45,4.85,4.67,6.22,6.31,8.10,5.74,6.15,5.58
2088,7.40,8.86,9.35,9.52,6.31,9.24,8.67,9.80,6.28,5.80,6.02,6.37,6.40,6.34,6.18,6.91,6.50,7.97,8.04,8.32,9.03,5.34,5.16,6.65,6.93,8.77,6.33,6.63,6.01
2089,7.41,8.88,9.33,9.30,6.47,9.33,8.60,9.92,6.52,6.03,6.29,6.50,6.64,6.57,6.34,6.88,6.54,7.86,7.82,8.28,9.01,5.59,5.42,6.80,6.90,8.61,6.44,6.89,6.27
2090,7.36,8.77,9.44,9.33,6.35,9.11,8.60,9.61,6.32,5.82,6.20,6.18,6.45,6.50,6.02,7.01,6.63,7.94,7.88,8.27,8.75,5.27,5.05,6.66,7.02,8.68,6.46,6.75,6.19
2091,7.09,8.66,9.10,9.00,6.16,8.91,8.36,9.43,6.27,5.62,5.87,6.14,6.39,6.19,5.94,6.60,6.25,7.57,7.51,8.04,8.68,5.25,5.11,6.50,6.62,8.32,6.14,6.41,5.86
2092,7.09,8.77,8.91,8.87,6.20,8.99,8.36,9.62,6.32,5.69,5.99,6.28,6.45,6.21,6.07,6.59,6.22,7.51,7.48,8.05,8.87,5.34,5.18,6.56,6.61,8.20,6.12,6.57,5.96
2093,7.09,8.94,9.04,8.86,6.16,9.01,8.31,9.65,6.20,5.69,5.96,6.28,6.32,6.28,6.03,6.63,6.30,7.54,7.47,7.99,8.99,5.29,5.15,6.47,6.65,8.25,6.19,6.57,5.94
2094,6.87,8.64,8.90,8.79,5.92,8.86,8.18,9.46,6.10,5.38,5.63,6.04,6.23,5.87,5.82,6.37,5.97,7.41,7.39,7.85,8.65,5.08,4.94,6.29,6.39,8.20,5.85,6.17,5.60
2095,7.12,8.52,9.04,9.04,6.11,8.80,8.24,9.36,6.11,5.62,5.91,6.02,6.23,6.30,5.82,6.71,6.38,7.64,7.65,7.93,8.61,5.16,5.01,6.39,6.72,8.37,6.23,6.40,5.92
2096,7.30,8.61,9.04,9.02,6.52,9.17,8.48,9.83,6.16,5.96,6.14,6.30,6.27,6.59,6.21,6.81,6.55,7.69,7.68,8.20,8.86,5.32,5.10,6.86,6.83,8.36,6.50,6.53,6.19
2097,7.33,8.85,9.11,9.06,6.39,9.03,8.42,9.59,6.56,5.98,6.37,6.39,6.69,6.58,6.19,6.81,6.50,7.72,7.71,8.12,8.84,5.55,5.36,6.69,6.82,8.42,6.39,7.01,6.33
2098,7.15,8.60,9.30,9.01,6.26,9.11,8.54,9.63,6.25,5.70,6.08,6.14,6.37,6.29,6.00,6.70,6.33,7.67,7.53,8.21,8.66,5.29,5.12,6.64,6.72,8.43,6.22,6.63,6.05
2099,7.48,8.76,9.72,9.70,6.54,9.45,8.85,9.97,6.18,5.89,5.92,6.39,6.29,6.44,6.28,7.12,6.68,8.18,8.09,8.52,9.00,5.34,5.17,6.93,7.14,9.00,6.52,6.42,5.96
2100,7.13,8.57,9.17,9.09,6.11,8.94,8.36,9.48,6.14,5.63,5.94,6.08,6.26,6.22,5.91,6.65,6.25,7.65,7.61,8.03,8.60,5.18,5.00,6.45,6.67,8.43,6.10,6.49,5.93
