Variable:,tas
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
2075,3.75,9.21,4.55,4.60,9.11,9.16,2.45,7.93,8.58,8.92,0.33,7.15,7.54,9.52,7.64,7.81,7.20,6.78,2.29,3.59,6.89,8.23
2076,3.93,8.70,4.76,4.96,8.96,8.78,2.55,7.73,8.21,8.49,0.75,7.07,7.45,9.08,7.71,7.92,7.49,6.72,2.55,3.90,7.05,7.96
2077,3.94,8.91,4.96,5.13,8.98,9.00,2.73,7.88,8.35,8.70,0.48,7.39,7.69,9.27,7.92,8.09,7.66,6.96,2.50,3.94,7.29,8.24
2078,3.92,8.99,4.79,4.76,8.96,9.26,2.65,7.79,8.33,8.82,0.65,7.17,7.46,9.48,7.60,7.73,7.21,7.04,2.58,3.89,6.91,8.27
2079,3.43,8.89,4.35,4.61,8.86,8.99,2.44,7.71,8.25,8.61,-0.23,6.80,7.28,9.25,7.34,7.49,6.94,6.53,1.82,3.53,6.55,8.13
2080,3.85,9.16,4.80,5.11,9.28,9.25,2.71,8.16,8.66,8.95,0.26,7.31,7.78,9.45,7.97,8.13,7.67,6.73,2.19,3.88,7.25,8.35
2081,4.06,9.17,4.79,4.89,9.33,9.15,2.90,7.95,8.60,8.89,0.84,7.14,7.62,9.49,7.79,8.03,7.45,6.80,2.69,3.97,7.00,8.26
2082,4.12,9.65,5.03,5.16,9.12,9.73,2.64,8.47,8.84,9.41,0.73,7.56,7.85,9.96,7.92,7.99,7.59,7.16,2.55,4.06,7.29,8.73
2083,3.96,9.01,4.80,5.02,8.95,9.22,2.75,7.89,8.32,8.82,0.64,7.12,7.45,9.46,7.73,7.98,7.46,6.75,2.60,4.08,7.05,8.26
2084,3.71,8.56,4.46,4.46,8.47,8.71,2.51,7.61,7.97,8.36,0.55,6.94,7.23,8.83,7.33,7.39,6.89,6.67,2.44,3.53,6.67,8.01
2085,3.71,8.79,4.64,4.86,8.92,8.85,2.60,7.61,8.18,8.54,0.21,6.92,7.27,9.13,7.50,7.85,7.31,6.58,2.41,3.97,6.81,7.97
2086,3.76,9.22,4.88,5.09,9.13,9.31,2.94,7.87,8.47,8.91,0.09,6.85,7.31,9.65,7.46,7.74,7.28,6.70,2.20,4.08,6.75,8.32
2087,3.63,8.51,4.55,4.70,9.09,8.55,2.24,7.46,8.08,8.26,0.28,6.98,7.27,8.73,7.60,7.93,7.37,6.68,2.25,3.69,6.88,7.88
2088,3.72,8.72,4.81,4.69,8.64,8.88,2.39,7.83,8.16,8.54,0.33,7.17,7.48,9.09,7.62,7.52,7.13,6.94,2.29,3.56,6.98,8.17
2089,3.83,8.86,4.49,4.61,8.91,8.86,2.46,7.65,8.28,8.58,0.71,7.00,7.32,9.14,7.52,7.75,7.22,6.59,2.54,3.70,6.82,8.02
2090,3.45,9.02,4.21,4.39,8.92,9.06,1.99,7.81,8.37,8.77,0.01,6.81,7.34,9.34,7.43,7.60,7.05,6.37,1.97,3.35,6.65,8.04
2091,4.02,9.37,4.70,4.77,9.27,9.40,2.79,8.09,8.70,9.10,0.80,7.14,7.63,9.75,7.76,7.95,7.34,6.78,2.59,3.88,6.96,8.37
2092,4.32,9.32,5.26,5.34,9.27,9.48,3.19,8.27,8.63,9.13,0.97,7.42,7.75,9.69,7.98,8.24,7.73,7.26,2.86,4.39,7.28,8.69
2093,3.91,9.01,4.77,4.82,8.89,9.14,2.69,7.94,8.41,8.79,0.59,7.21,7.55,9.37,7.65,7.78,7.23,6.92,2.46,3.78,6.94,8.31
2094,3.71,8.75,4.32,4.50,8.92,8.91,2.54,7.63,8.19,8.52,0.59,6.58,7.17,9.18,7.32,7.62,7.04,6.31,2.35,3.61,6.48,7.99
2095,3.89,9.04,4.77,4.96,8.80,9.14,2.62,7.89,8.35,8.80,0.55,7.06,7.41,9.33,7.65,8.00,7.49,6.76,2.46,3.87,6.94,8.25
2096,3.61,9.00,4.55,4.59,8.83,9.11,2.44,7.78,8.30,8.75,0.21,6.99,7.34,9.42,7.42,7.50,6.98,6.75,2.01,3.44,6.72,8.21
2097,3.55,8.53,4.35,4.54,8.78,8.54,2.14,7.43,8.04,8.28,0.28,6.82,7.16,8.78,7.43,7.68,7.14,6.47,2.13,3.61,6.70,7.80
2098,3.67,8.68,4.46,4.58,8.62,8.82,2.46,7.66,8.10,8.46,0.37,6.98,7.32,9.03,7.46,7.55,7.09,6.58,2.17,3.59,6.78,8.03
2099,3.56,8.99,4.41,4.53,8.64,9.06,2.08,7.81,8.27,8.79,0.19,6.98,7.42,9.33,7.53,7.75,7.22,6.52,2.03,3.46,6.78,8.01
2100,4.05,8.87,4.75,4.91,9.03,8.88,2.86,7.63,8.25,8.61,0.97,7.03,7.36,9.22,7.60,7.80,7.33,6.73,2.77,4.04,6.93,8.03
